county_fips,county_name,recipient_county_name,deobligated_amount_usd,awards_with_any_cut,population_total,deob_dollars_per_capita,cuts_per_10k_residents,pct_minority,pct_black,pct_hispanic,pct_asian
25001,BARNSTABLE,BARNSTABLE,17546529.5,360,230073.0,76.26505283105797,15.647207625405848,13.02716963746289,2.737392045133501,3.5545239989046955,1.5442924636963051
25003,BERKSHIRE,BERKSHIRE,9735521.27,60,128047.0,76.03084234695072,4.685779440361743,12.712519621701404,2.513139706514014,5.604192210672643,1.8032441212992103
25005,BRISTOL,BRISTOL,30877323.11,343,578436.0,53.38070782247301,5.929783070210015,21.433486159229375,4.407574908892254,9.819582460289471,2.3686285085990497
25007,DUKES,DUKES,777855.14,25,20751.0,37.48518818370199,12.047612163269239,18.27863717411209,3.329960001927618,3.089007758662233,1.3878849212086164
25009,ESSEX,ESSEX,42995560.91,308,807258.0,53.26123855074833,3.815384920310483,29.724449928027965,4.149602729238979,23.22937648186825,3.4825297488535267
25011,FRANKLIN,FRANKLIN,5322187.2700000005,83,70922.0,75.04282549843491,11.702997659400467,10.562307887538424,1.4128197174360564,5.204308959138208,1.919009616198077
25013,HAMPDEN,HAMPDEN,24743312.49,257,462853.0,53.45825238250589,5.552518834273517,32.551803704415875,8.703843336869372,26.57452798188626,2.5653933322242697
25015,HAMPSHIRE,HAMPSHIRE,56816474.7,309,156595.0,362.82432197707465,19.732430792809478,16.722117564417772,2.328937705546154,7.189884734506211,5.037836457102717
25017,MIDDLESEX,MIDDLESEX,1492317835.89,2853,1622896.0,919.5400296075658,17.579684711774508,31.040374737506284,5.034272066725163,8.988129861679369,13.183038223028461
25019,NANTUCKET,NANTUCKET,449232.32,12,14299.0,31.41704454856983,8.392195258409679,29.19085250716833,9.322330232883418,16.4137352262396,1.7833414924120568
25021,NORFOLK,NORFOLK,21072887.18,263,724540.0,29.084504899660473,3.6298893090788638,28.58296298341017,7.241560162309879,5.5386866149556955,12.082838766665747
25023,PLYMOUTH,PLYMOUTH,8190711.81,128,531889.0,15.399287840132057,2.406517149254826,22.007975348239952,8.76498667955156,4.7043650084886135,1.6593687780721165
25025,SUFFOLK,SUFFOLK,12628912369.64,7975,782172.0,16145.953025216959,101.95967127434886,51.85828692410365,19.09324291843738,22.793707777828917,9.011317203888659
25027,WORCESTER,WORCESTER,235143309.91,778,861664.0,272.89443438509676,9.029041482526832,24.4528029487132,5.082143387677796,13.318300404798158,5.192859397630631
